Name,logfc,pvals_adj,celltype,fc
GMFG,7.297999,9.137928751075734e-236,Macrophage Cell,157.36806
SPI1,8.1894,5.142843937531443e-235,Macrophage Cell,291.914
LYVE1,9.007677,5.821619950397594e-234,Macrophage Cell,514.7318
RGS10,6.958838,1.3208132065560245e-229,Macrophage Cell,124.3996
S100A9,6.3943014,1.1589398293374208e-222,Macrophage Cell,84.1156
SLC2A5,9.106779,2.668649453306734e-219,Macrophage Cell,551.3326
RNASE6,9.350143,6.586550141389879e-219,Macrophage Cell,652.6399
FGL2,6.1838484,1.8472302389746733e-217,Macrophage Cell,72.698235
CORO1A,7.748141,8.287896606998771e-216,Macrophage Cell,214.99225
APOE,4.9240932,5.3397438643696866e-217,Macrophage Cell,30.359861
CD53,8.227216,3.804767544209018e-207,Macrophage Cell,299.66684
STAB1,7.8817263,5.149706771720096e-207,Macrophage Cell,235.85008
C3AR1,9.646849,1.4667980051001952e-201,Macrophage Cell,801.66113
SLC1A3,8.577092,4.114543927969946e-193,Macrophage Cell,381.9109
FOLR2,8.709331,1.730716111029975e-191,Macrophage Cell,418.5716
ELF1,5.0287395,2.623196498634432e-191,Macrophage Cell,32.643852
PLEK,8.343028,1.3337490483986934e-186,Macrophage Cell,324.7145
MRC1,9.470761,1.944723762240745e-186,Macrophage Cell,709.55035
SLCO2B1,8.184306,2.6502651197307866e-186,Macrophage Cell,290.88522
TNFRSF1B,6.5533633,2.1839523098322262e-185,Macrophage Cell,93.92018
TREM2,9.309774,4.0115916899553565e-178,Macrophage Cell,634.6311
SLC11A1,7.1565423,3.5229016565610952e-177,Macrophage Cell,142.67041
LCP1,7.414915,3.677110363203697e-176,Macrophage Cell,170.65219
BST2,4.709014,1.116246445248679e-177,Macrophage Cell,26.154984
PYCARD,5.3135123,1.6203232746836985e-175,Macrophage Cell,39.76734
RNF144B,7.365007,3.9989808046857317e-174,Macrophage Cell,164.84964
CXCR4,6.5377893,9.387439317048819e-173,Macrophage Cell,92.91176
HAVCR2,8.728195,7.183816667588327e-169,Macrophage Cell,424.08075
MARCKS,4.155149,1.6420241693217607e-172,Macrophage Cell,17.816586
IL1B,6.985103,1.1196821943750151e-167,Macrophage Cell,126.685104
ARRB2,5.550132,6.043589964308849e-168,Macrophage Cell,46.855022
FAM49B,5.0538883,4.976539465311732e-168,Macrophage Cell,33.217884
SAMSN1,7.4469676,3.6467938340350216e-165,Macrophage Cell,174.48602
NR4A2,4.0250688,6.205618288789492e-164,Macrophage Cell,16.28045
TNFAIP3,5.12291,3.4864417269305665e-161,Macrophage Cell,34.84573
KCTD12,4.221979,7.886223877285756e-161,Macrophage Cell,18.66132
CTSC,4.755085,2.487968865272346e-155,Macrophage Cell,27.003696
PLTP,4.437613,7.210701322764484e-155,Macrophage Cell,21.669786
CD86,9.208815,5.298869748455204e-152,Macrophage Cell,591.7379
SLA,7.2385583,2.4267849788943667e-150,Macrophage Cell,151.01607
LY96,5.6048665,1.4847623197042908e-150,Macrophage Cell,48.666817
RNASE1,4.394479,2.5904120245489533e-150,Macrophage Cell,21.031485
CD93,7.3158793,4.27931821488526e-146,Macrophage Cell,159.33057
GPSM3,5.588819,2.508936105584094e-144,Macrophage Cell,48.128483
SH3BGRL3,3.776947,8.536832565379528e-144,Macrophage Cell,13.708008
ABL2,4.151299,4.714347054131514e-143,Macrophage Cell,17.769104
HMOX1,5.322932,1.916531958562121e-141,Macrophage Cell,40.027836
INSIG1,3.918991,8.824112363934993e-143,Macrophage Cell,15.126341
NCF4,8.089934,6.277979275984741e-134,Macrophage Cell,272.46637
CTSH,4.406307,1.801515135532523e-133,Macrophage Cell,21.204628
OTUD1,4.52194,6.65309665687558e-132,Macrophage Cell,22.97416
CD84,7.823518,1.2864684984030376e-129,Macrophage Cell,226.52364
GPR34,8.542055,3.447300649904651e-129,Macrophage Cell,372.74756
LPAR6,4.698008,4.2785546046178556e-129,Macrophage Cell,25.956213
WAS,7.557869,2.439758426927944e-123,Macrophage Cell,188.42792
LCP2,6.586702,3.3745913168542484e-123,Macrophage Cell,96.115814
C3,4.2927365,8.91777295217195e-124,Macrophage Cell,19.599384
SMAP2,4.172568,1.1531885451592841e-121,Macrophage Cell,18.033005
CCR1,8.820516,2.2216380495503718e-117,Macrophage Cell,452.1055
MARCH1,8.333802,7.966635999667978e-114,Macrophage Cell,322.64462
RHOG,4.0768266,2.6958275556999946e-113,Macrophage Cell,16.875128
IL10RA,6.1192045,7.433888865017427e-112,Macrophage Cell,69.51269
B3GNT5,5.0801797,4.663694810641087e-111,Macrophage Cell,33.82879
GK,5.07594,4.894698138098404e-111,Macrophage Cell,33.729523
ARHGAP4,5.6642575,3.3207701158618045e-110,Macrophage Cell,50.71208
NCKAP1L,7.4420185,3.597664219539133e-109,Macrophage Cell,173.88847
RUNX1,5.0269423,2.303745711274849e-104,Macrophage Cell,32.603214
PREX1,5.1974053,2.5731533065479324e-99,Macrophage Cell,36.692295
NLRP3,8.140412,1.287849923246438e-98,Macrophage Cell,282.16833
EMB,5.608148,1.0648158662417027e-98,Macrophage Cell,48.77764
JAML,7.3218327,4.60778362644709e-98,Macrophage Cell,159.98941
ABI3,6.4121547,5.547385773333343e-98,Macrophage Cell,85.162994
TNF,6.57723,4.764276486749898e-93,Macrophage Cell,95.48684
IGSF6,7.6228385,4.001282033102419e-90,Macrophage Cell,197.10745
PTGER4,4.1388493,3.342640806756947e-88,Macrophage Cell,17.616425
COTL1,2.8807235,1.4490486197580675e-87,Macrophage Cell,7.365194
PTPN6,5.797856,1.4848664393404205e-85,Macrophage Cell,55.632492
ZEB2,2.976591,2.631236701747522e-86,Macrophage Cell,7.871241
IRF8,4.9528713,1.27474753282387e-84,Macrophage Cell,30.971542
FERMT3,4.652458,5.117249072978201e-84,Macrophage Cell,25.149506
PMAIP1,3.536581,4.3243608104317975e-84,Macrophage Cell,11.604247
IER5,3.0224857,1.8995931456740188e-83,Macrophage Cell,8.125664
PDE4B,3.5252573,1.6847534157299296e-81,Macrophage Cell,11.513522
PHACTR1,4.665107,1.1714292523406019e-80,Macrophage Cell,25.37097
RASGEF1B,3.5046945,1.903887455803288e-80,Macrophage Cell,11.350582
IER3,2.3971362,7.141849889590679e-81,Macrophage Cell,5.2675653
AREG,4.6414332,1.6762544453530394e-78,Macrophage Cell,24.958048
TNFAIP8,4.2204366,2.1858114874850294e-78,Macrophage Cell,18.641376
DENND3,5.0975895,3.738757183428441e-77,Macrophage Cell,34.239494
FMNL1,5.4758306,1.3512626768599606e-76,Macrophage Cell,44.502995
TNFSF13B,4.3854074,2.5858628558418207e-76,Macrophage Cell,20.899658
EGR2,3.1799219,3.273774165656827e-76,Macrophage Cell,9.06258
CASP1,4.1942887,1.6741109332663438e-74,Macrophage Cell,18.306559
LTC4S,6.206118,2.9163255865911e-74,Macrophage Cell,73.82912
RGS19,5.749185,1.4209872183995608e-72,Macrophage Cell,53.78698
ARL4C,3.7047477,1.44475445720717e-72,Macrophage Cell,13.038877
THBS1,3.4127119,4.428055758826503e-71,Macrophage Cell,10.649486
CCRL2,6.505952,1.117586630892905e-70,Macrophage Cell,90.883835
TAGAP,5.6941776,5.0071637577857555e-70,Macrophage Cell,51.77478
DOK2,5.4434767,1.504326929013859e-69,Macrophage Cell,43.51608
UNC93B1,3.6131275,6.633443290254976e-69,Macrophage Cell,12.236571
NABP1,2.8084643,8.940642745261993e-69,Macrophage Cell,7.005385
PLAU,4.7848573,2.853748660982345e-68,Macrophage Cell,27.56675
CAPG,3.50688,1.733795560225349e-66,Macrophage Cell,11.367791
PLCB2,6.816895,3.1871957763411027e-66,Macrophage Cell,112.74307
PRDM1,4.5050464,2.7086854652654805e-66,Macrophage Cell,22.706703
CD69,4.572482,1.8081568462125425e-65,Macrophage Cell,23.793278
UCP2,4.58888,1.2002982000833432e-64,Macrophage Cell,24.06526
SLC4A7,2.953519,2.3423117720332897e-63,Macrophage Cell,7.746363
GIMAP4,4.7701273,6.681192206771205e-63,Macrophage Cell,27.286724
AOAH,6.4365,7.546729424404998e-63,Macrophage Cell,86.612305
NCF1,5.8373175,3.315944666072977e-62,Macrophage Cell,57.175194
ST6GAL1,5.2338166,1.8757687027543223e-61,Macrophage Cell,37.630135
GRASP,3.05997,1.6311944530503978e-61,Macrophage Cell,8.339552
PLD4,6.897361,3.401471490406053e-60,Macrophage Cell,119.209946
TPM3,2.1848247,4.931233007100934e-58,Macrophage Cell,4.5467153
PAG1,3.3759458,2.1290103028753124e-56,Macrophage Cell,10.38152
OSM,6.9967446,2.91247480157714e-56,Macrophage Cell,127.7115
DOCK8,4.6211324,5.142998481936565e-56,Macrophage Cell,24.609312
GPR65,5.4262185,1.2112855443548041e-55,Macrophage Cell,42.998623
RCSD1,3.9332778,5.034616302191872e-55,Macrophage Cell,15.276878
IL1RN,4.026931,9.902412158195521e-55,Macrophage Cell,16.301477
ICAM1,2.3936496,1.6561806561018784e-54,Macrophage Cell,5.2548504
TNFAIP2,2.6369803,5.26140097912684e-54,Macrophage Cell,6.2202835
STXBP2,4.1602416,1.124773103972147e-53,Macrophage Cell,17.87959
GATM,2.7590196,5.824033218592704e-53,Macrophage Cell,6.769361
RASSF4,2.344465,1.4262882512756387e-52,Macrophage Cell,5.07872
LIMD2,3.1385965,3.1182022416236234e-52,Macrophage Cell,8.806669
HPGDS,6.8328967,1.3027949899936163e-51,Macrophage Cell,114.00053
DUSP6,2.396558,1.7677293828501975e-51,Macrophage Cell,5.265455
TSPAN33,3.9459233,2.0485752989483204e-50,Macrophage Cell,15.411371
ANXA1,2.0389805,9.742983633465669e-50,Macrophage Cell,4.10955
IL1R2,6.352844,8.041709671065254e-49,Macrophage Cell,81.73285
VMO1,2.3719666,2.6225782599092425e-48,Macrophage Cell,5.1764627
KMO,5.530334,1.0902783820456675e-47,Macrophage Cell,46.21643
ARHGAP30,4.13355,9.207182025322483e-46,Macrophage Cell,17.551838
CYTIP,4.4210143,2.5109880005376296e-45,Macrophage Cell,21.421898
ARHGAP24,2.6268828,3.1148612516777587e-45,Macrophage Cell,6.176899
STARD4,3.033205,5.244764361771881e-45,Macrophage Cell,8.186263
IKZF1,5.3047976,4.174277251869178e-44,Macrophage Cell,39.52785
DEF6,4.757746,1.0125768091334911e-43,Macrophage Cell,27.053555
STK4,2.3295734,1.1961100522252844e-43,Macrophage Cell,5.0265665
PSTPIP1,5.0945826,2.1114789465977696e-43,Macrophage Cell,34.168205
NR4A3,2.154741,3.3479920454951908e-43,Macrophage Cell,4.452887
DPYSL2,2.038924,3.535862002498239e-43,Macrophage Cell,4.1093893
ARL4A,2.100228,5.706193459859592e-43,Macrophage Cell,4.287771
PECAM1,4.040443,3.033814874470182e-42,Macrophage Cell,16.454872
RPS6KA1,4.5223255,5.880275415768342e-42,Macrophage Cell,22.980297
TLR1,4.187402,7.642991494554954e-42,Macrophage Cell,18.219378
HSPH1,1.8717828,5.840274561292392e-42,Macrophage Cell,3.6598456
ARL5B,2.22286,1.3945049344658444e-41,Macrophage Cell,4.6681795
MTSS1,2.4264586,1.8496821918625598e-41,Macrophage Cell,5.3757224
CD48,4.3904357,1.2288013251325043e-40,Macrophage Cell,20.972628
SLC43A2,2.817407,1.2044116078873819e-40,Macrophage Cell,7.048943
FRMD4A,2.7208686,1.826286987517115e-40,Macrophage Cell,6.592696
ARHGAP22,4.2364497,3.4429710653182127e-40,Macrophage Cell,18.849438
CD44,1.96566,5.341666455040272e-40,Macrophage Cell,3.9059134
CMTM3,2.2070775,1.839940011790975e-39,Macrophage Cell,4.6173897
SEPT6,2.788652,8.492000536087953e-39,Macrophage Cell,6.909838
LMO2,3.4881186,2.2857071862233473e-38,Macrophage Cell,11.220917
BIN2,5.2403502,6.252866138391229e-38,Macrophage Cell,37.800938
CX3CR1,6.4373493,1.4432547028504517e-37,Macrophage Cell,86.66331
IGF1,3.1627245,1.5111054537542547e-37,Macrophage Cell,8.955193
SASH3,6.001514,3.2828850516728525e-37,Macrophage Cell,64.0672
UPP1,2.069099,2.8207466664561918e-36,Macrophage Cell,4.1962447
FGR,5.305873,8.425905477420916e-36,Macrophage Cell,39.557323
WIPF1,1.9788934,3.089514451673752e-35,Macrophage Cell,3.941906
STK10,3.018682,1.8423655177583432e-34,Macrophage Cell,8.104269
CCR5,6.609534,1.6788123342058324e-33,Macrophage Cell,97.64903
ABRACL,2.7898898,4.7721614988245154e-33,Macrophage Cell,6.9157696
FSCN1,1.8291968,4.505242480896111e-33,Macrophage Cell,3.553392
DOCK10,4.5037704,9.148262282839393e-33,Macrophage Cell,22.686628
PSMB8,1.8067133,9.080280940770109e-33,Macrophage Cell,3.4984438
VAV1,5.5106387,1.661938294690739e-32,Macrophage Cell,45.589787
TCHH,6.565202,2.892268148824426e-32,Macrophage Cell,94.69408
P2RY13,7.0865984,6.83794468754554e-32,Macrophage Cell,135.91853
ST3GAL6,2.1176808,1.0370994310118321e-31,Macrophage Cell,4.3399568
DOCK11,3.2003183,1.4922948688143447e-31,Macrophage Cell,9.191614
LSP1,1.7343901,1.6123156786347422e-31,Macrophage Cell,3.327388
ITGA4,3.0780785,3.2870493315754824e-31,Macrophage Cell,8.444889
SH3BP5,1.7196317,2.735131549692072e-30,Macrophage Cell,3.293523
ARHGAP15,2.4973729,3.230041071641158e-30,Macrophage Cell,5.6465626
CSK,2.3984008,3.98454647027093e-29,Macrophage Cell,5.2721844
ENG,1.8509488,7.710989471525381e-29,Macrophage Cell,3.6073735
IL16,4.1768823,9.441550368547738e-29,Macrophage Cell,18.087013
LIPA,1.9414374,1.0411084005759272e-28,Macrophage Cell,3.8408813
SLC15A3,2.1168928,4.895113197939204e-28,Macrophage Cell,4.3375874
PSMB9,1.7277136,5.986318609153033e-28,Macrophage Cell,3.312025
ZC3HAV1,1.6352649,7.447536347660081e-28,Macrophage Cell,3.1064458
P2RX7,2.686207,3.1626817541244153e-27,Macrophage Cell,6.4361906
S100A4,1.3621658,1.1326697829709296e-25,Macrophage Cell,2.570708
MICAL1,3.4265282,2.3413155776312696e-25,Macrophage Cell,10.751964
ARHGAP9,4.3326626,1.5527159390299424e-24,Macrophage Cell,20.149366
CCL8,4.35302,2.8877147553251078e-24,Macrophage Cell,20.435705
LPXN,3.0991845,2.9327645166199274e-24,Macrophage Cell,8.569342
PTPN22,3.1141787,1.0116516977120586e-23,Macrophage Cell,8.658869
TRPV2,3.6910028,4.20095961486374e-23,Macrophage Cell,12.915242
BATF,4.5820603,2.427500085770388e-22,Macrophage Cell,23.95177
SLC9A9,1.900108,1.5895004749066196e-20,Macrophage Cell,3.7324114
SORL1,1.4851508,2.1465569502279836e-20,Macrophage Cell,2.7994645
ARHGAP25,4.6401434,2.414912744141669e-20,Macrophage Cell,24.935745
EGFL7,1.6966828,3.608692610906158e-20,Macrophage Cell,3.2415478
ANKRD44,1.9750723,3.7825868800363684e-20,Macrophage Cell,3.9314792
PADI2,3.2226632,4.364453327449987e-20,Macrophage Cell,9.335085
SH3BP1,2.8244052,9.240110223435879e-20,Macrophage Cell,7.083219
CCL5,2.357991,1.1504795385499705e-19,Macrophage Cell,5.1265593
PIK3CG,5.2591233,1.6341879901492453e-19,Macrophage Cell,38.29604
MBP,1.5219437,2.1648514145897454e-19,Macrophage Cell,2.8717768
VCAN,2.090401,2.315401461248003e-19,Macrophage Cell,4.2586637
CXCL10,2.8579352,2.5371738441000934e-19,Macrophage Cell,7.2497697
TCIRG1,1.4910564,2.9483820287832175e-18,Macrophage Cell,2.8109474
DDIT4,1.1959645,2.972019510930891e-18,Macrophage Cell,2.2909791
RASSF5,1.5485321,9.461678596712492e-18,Macrophage Cell,2.9251935
EREG,5.0988503,1.2519842603185244e-17,Macrophage Cell,34.26943
GIMAP6,3.3912644,1.711290422789776e-17,Macrophage Cell,10.492339
TRIM14,2.3438447,2.4837987279595168e-17,Macrophage Cell,5.0765367
ADAP1,3.0051208,6.097024799192444e-17,Macrophage Cell,8.028446
MMP9,5.55772,6.910949508907956e-17,Macrophage Cell,47.102123
IL1A,5.8065314,3.572836347093515e-16,Macrophage Cell,55.968044
CAMK1D,2.8072262,6.756175795993075e-16,Macrophage Cell,6.9993753
APH1A,1.1459188,2.6825838876131996e-15,Macrophage Cell,2.2128704
CHD7,1.6166261,4.5260833241361616e-15,Macrophage Cell,3.0665708
DPEP2,5.533298,9.878748268190996e-15,Macrophage Cell,46.31148
CHML,1.6241704,1.1707632765747513e-14,Macrophage Cell,3.0826488
RPS6KA4,1.603905,1.2297770507729047e-14,Macrophage Cell,3.0396495
SLC39A10,1.5664136,1.6605595272639848e-14,Macrophage Cell,2.9616756
ARHGEF6,1.5624874,2.443839172383462e-14,Macrophage Cell,2.9536264
SNX18,1.4135585,3.022068021388054e-14,Macrophage Cell,2.6639342
CFP,4.965541,3.366027724585106e-14,Macrophage Cell,31.244728
MAP3K1,1.7092077,4.210112147162894e-14,Macrophage Cell,3.2698119
ANKRD37,1.0904402,4.1633970626965815e-14,Macrophage Cell,2.1293898
EZR,1.0810654,4.7397379077799385e-14,Macrophage Cell,2.1155977
CD52,2.2307236,6.640108000550852e-14,Macrophage Cell,4.693693
IFI44L,1.3319052,9.229403268812947e-14,Macrophage Cell,2.517349
CST7,2.6371965,9.623577021229178e-14,Macrophage Cell,6.2212157
PDGFB,1.5027306,1.6797986600882027e-13,Macrophage Cell,2.8337855
PIK3R1,1.0224034,3.800397028136052e-13,Macrophage Cell,2.0313
SQLE,1.1197684,5.760018679396615e-13,Macrophage Cell,2.1731207
ARAP2,1.4586232,1.0470741180342507e-12,Macrophage Cell,2.7484593
SPN,3.5976427,1.6165437554251754e-12,Macrophage Cell,12.105936
CD28,4.4000297,2.5716027041373866e-12,Macrophage Cell,21.112562
SLC2A3,0.93456346,3.238565988404055e-12,Macrophage Cell,1.9113122
CYTL1,1.3103925,9.962489005791674e-12,Macrophage Cell,2.48009
VEGFA,1.0020028,1.2647549065271788e-11,Macrophage Cell,2.0027785
TMEM107,1.1446162,1.3170195070523297e-11,Macrophage Cell,2.2108731
AKNA,1.2623005,1.6508471093489406e-11,Macrophage Cell,2.3987794
PARP8,1.5617989,1.7523102140579547e-11,Macrophage Cell,2.9522173
TRAF3IP3,2.4785554,1.86523201022812e-11,Macrophage Cell,5.5733914
ICAM2,1.854776,1.9577822338371728e-11,Macrophage Cell,3.616956
DENND1C,4.14807,2.713610714184747e-11,Macrophage Cell,17.729376
ADGRG6,1.6880959,2.7651108132960194e-11,Macrophage Cell,3.2223115
FRAT1,2.6915169,2.901187770519027e-11,Macrophage Cell,6.459923
STAC3,1.8333793,7.572907945083768e-11,Macrophage Cell,3.5637083
GAS2L3,1.4732203,2.6722041327731513e-10,Macrophage Cell,2.7764094
TMC8,3.1620367,4.820071397899957e-10,Macrophage Cell,8.950924
NLRC5,2.126426,5.071403971967173e-10,Macrophage Cell,4.3663445
IL1RAP,1.0765252,7.014116656366985e-10,Macrophage Cell,2.1089504
IL2RG,2.5247693,1.3103466663354366e-09,Macrophage Cell,5.754814
NFE2L3,3.2942216,1.5113638182701539e-09,Macrophage Cell,9.809786
SLAMF7,3.9760106,2.2645198133232615e-09,Macrophage Cell,15.736148
FAM78A,3.2866497,2.3404612892279387e-09,Macrophage Cell,9.758434
LPAR2,2.58116,3.5374345097041414e-09,Macrophage Cell,5.984207
TNFSF8,5.0060077,3.72718450051714e-09,Macrophage Cell,32.133533
CXCL1,1.9184563,6.187288281070082e-09,Macrophage Cell,3.7801836
TPK1,1.4771217,7.115971830472613e-09,Macrophage Cell,2.7839277
PLCG2,0.8730511,1.0201820982095969e-08,Macrophage Cell,1.8315322
G0S2,0.92180556,1.1673231481725331e-08,Macrophage Cell,1.8944848
OPN3,1.1677811,1.3071693190940147e-08,Macrophage Cell,2.246659
PHLDA2,0.9730618,1.6223814921215216e-08,Macrophage Cell,1.9630022
FCHO1,3.62561,1.7070323257789515e-08,Macrophage Cell,12.342905
PLAC8,2.8057306,2.124813992738743e-08,Macrophage Cell,6.992123
SEL1L3,2.4340212,2.158636130254412e-08,Macrophage Cell,5.403976
LYSMD2,1.0381113,2.250580153166667e-08,Macrophage Cell,2.0535376
ITGAL,3.3372865,5.2231353406348535e-08,Macrophage Cell,10.107024
CSGALNACT1,0.9332773,5.258717431028924e-08,Macrophage Cell,1.9096091
IL27RA,2.3247006,7.306934667373569e-08,Macrophage Cell,5.009618
ISG20,0.8523725,9.057742156902784e-08,Macrophage Cell,1.8054676
SEMA4D,1.2311075,1.463684867543201e-07,Macrophage Cell,2.347471
MACROD2,1.9776719,1.6834291779135123e-07,Macrophage Cell,3.9385698
TNNI2,1.4053735,2.0315492237426106e-07,Macrophage Cell,2.6488636
BANK1,4.9006815,3.32613766840832e-07,Macrophage Cell,29.871162
GIMAP8,1.5476646,5.178460799437676e-07,Macrophage Cell,2.9234352
LFNG,2.93083,5.253870771193407e-07,Macrophage Cell,7.6254897
ENPP2,0.90754867,5.250191574197285e-07,Macrophage Cell,1.8758554
PLXNC1,1.1664383,5.774947173666704e-07,Macrophage Cell,2.2445688
DNAJB1,0.571549,6.36951252407742e-07,Macrophage Cell,1.4861184
CARD11,3.6455855,8.27498082418576e-07,Macrophage Cell,12.514993
SYT1,1.4352859,9.578365666320277e-07,Macrophage Cell,2.7043576
TESC,1.7540828,9.592367802545229e-07,Macrophage Cell,3.3731182
MCOLN2,2.64218,1.9935444410081334e-06,Macrophage Cell,6.2427425
PRSS36,2.7828948,2.570635846515773e-06,Macrophage Cell,6.8823195
KCP,2.1393948,9.791278607274722e-06,Macrophage Cell,4.4057717
RGS2,0.547473,1.2809199235795854e-05,Macrophage Cell,1.4615234
SP140,2.4612212,1.37913994521544e-05,Macrophage Cell,5.506827
PTGS2,0.61500525,1.7105452511686552e-05,Macrophage Cell,1.5315636
ISG15,0.59550124,3.742454033290996e-05,Macrophage Cell,1.5109975
TPST2,0.77203363,4.061405707955262e-05,Macrophage Cell,1.7076752
CLEC2D,0.806431,4.3308011957416536e-05,Macrophage Cell,1.7488797
TMEM71,0.8938387,4.876864022191295e-05,Macrophage Cell,1.8581136
TTYH2,1.0949692,6.002561228379914e-05,Macrophage Cell,2.136085
BTG1,0.38317072,6.294560062008485e-05,Macrophage Cell,1.3042051
CD36,2.5718772,8.005111996807024e-05,Macrophage Cell,5.945826
BCL2,0.60564935,0.0001209915862897224,Macrophage Cell,1.5216635
NR4A1,0.43780574,0.00015131118544580607,Macrophage Cell,1.3545426
PIK3R6,4.177679,0.00017298485396287694,Macrophage Cell,18.097006
KIF21B,2.9754956,0.00023908063830753126,Macrophage Cell,7.865266
TSTD1,0.6184729,0.00024402923166357593,Macrophage Cell,1.5352492
SREBF1,0.566123,0.000286026560870176,Macrophage Cell,1.4805396
PIK3IP1,0.5575455,0.00030010012062940634,Macrophage Cell,1.4717631
PPM1M,0.77548295,0.0003114556362576089,Macrophage Cell,1.711763
TGFA,2.2763553,0.0003352491363876419,Macrophage Cell,4.844525
CD244,3.7635353,0.0003616506631675837,Macrophage Cell,13.581164
BEST1,0.551845,0.0003744754689168998,Macrophage Cell,1.4659592
PARP12,0.94577307,0.000469481090354916,Macrophage Cell,1.9262208
RUNX3,1.2873724,0.00047301326489664877,Macrophage Cell,2.440831
MSMO1,0.53296876,0.0005197438983078496,Macrophage Cell,1.4469036
USB1,0.618318,0.0006832665410024476,Macrophage Cell,1.5350845
MATK,2.1738515,0.0008410117519630012,Macrophage Cell,4.5122643
RSAD2,1.1011902,0.0008770152194450019,Macrophage Cell,2.145316
LY9,3.203594,0.000929990206393086,Macrophage Cell,9.212507
CD163L1,3.0415273,0.001142852110465648,Macrophage Cell,8.233623
IFIH1,0.8103441,0.0021374598377090883,Macrophage Cell,1.7536297
S100A10,0.4077508,0.0023957857760646046,Macrophage Cell,1.326616
RPGRIP1,4.4363146,0.0026278342327567604,Macrophage Cell,21.650293
LTB,1.1885674,0.003109324341744227,Macrophage Cell,2.2792628
TNS3,0.50294673,0.003630832887428129,Macrophage Cell,1.4171051
PPFIBP2,0.71155155,0.0048550558890713205,Macrophage Cell,1.6375643
CDA,1.1277382,0.004927781192753477,Macrophage Cell,2.185159
IFIT2,0.5308719,0.007569583815692169,Macrophage Cell,1.4448022
SLAMF1,2.4221694,0.0075760495771668,Macrophage Cell,5.359764
RPL39L,0.39615408,0.007847069332980253,Macrophage Cell,1.3159951
CHIT1,4.0946474,0.007966952262267346,Macrophage Cell,17.08487
KIFC1,1.656187,0.012133481674266868,Macrophage Cell,3.1518242
CREB5,0.41523877,0.012464243017328827,Macrophage Cell,1.3335193
PTCH2,0.5686167,0.01284682558875218,Macrophage Cell,1.4831009
BAG3,0.3456748,0.017623596074159056,Macrophage Cell,1.2707452
NOTCH1,0.5304092,0.0181592678412933,Macrophage Cell,1.4443388
PDE2A,1.0311173,0.02067866172524585,Macrophage Cell,2.0436063
STAT4,1.0835441,0.022454414339125112,Macrophage Cell,2.1192358
TNFRSF18,1.5955293,0.023240390461944333,Macrophage Cell,3.0220537
LRP8,1.1105425,0.023735542554589418,Macrophage Cell,2.1592681
LAT,0.78491896,0.024412777768245297,Macrophage Cell,1.7229955
AIM2,2.744871,0.025394885906223692,Macrophage Cell,6.703297
XAF1,0.44757915,0.025639381593410282,Macrophage Cell,1.36375
RHOH,1.0027565,0.030719794986588035,Macrophage Cell,2.003825
TMEM176B,0.28280485,0.03633410783313207,Macrophage Cell,1.2165577
GRK6,0.3867683,0.03748345908786607,Macrophage Cell,1.3074614
HPSE,1.358673,0.03900285887305742,Macrophage Cell,2.5644917
